,f2,prec,rec,dld
imp_players-num_ftrs-cosine_sim-long_reuse-pop,65.17,62.52,65.87,14.81
imp_players-num_ftrs-cosine_sim-median_reuse-pop,62.27,64.18,61.81,15.37
imp_players-num_ftrs-cosine_sim-first_reuse-pop,62.73,63.48,62.55,14.08
