,f2,prec,rec,dld
imp_players-num_ftrs-cosine_sim-long_reuse-pop,56.57,64.30,54.92,12.71
imp_players-num_ftrs-cosine_sim-median_reuse-pop,58.63,65.86,57.07,13.58
imp_players-num_ftrs-cosine_sim-first_reuse-pop,56.57,64.30,54.92,12.71
