,f2,prec,rec,f1,dld
imp_players-text_ftrs-cosine_sim-median_reuse,32.51,34.89,31.97,33.36,11.24
imp_players-num_ftrs-cosine_sim-first_reuse,32.85,36.07,32.13,33.99,12.40
imp_players-set_ftrs-cosine_sim-first_reuse,33.03,35.37,32.49,33.87,12.13
imp_players-text_ftrs-cosine_sim-first_reuse,32.59,33.87,32.29,33.06,11.74
imp_players-num_ftrs-euclidean_sim-long_reuse,36.35,33.32,37.19,35.15,11.41
imp_players-set_ftrs-euclidean_sim-long_reuse,36.93,33.54,37.88,35.58,11.26
imp_players-text_ftrs-euclidean_sim-long_reuse,36.95,33.11,38.05,35.41,11.41
imp_players-num_ftrs-euclidean_sim-median_reuse,34.04,36.96,33.38,35.08,12.69
imp_players-set_ftrs-euclidean_sim-median_reuse,33.88,36.54,33.28,34.83,12.29
imp_players-text_ftrs-euclidean_sim-median_reuse,32.90,35.32,32.35,33.77,11.30
imp_players-num_ftrs-euclidean_sim-first_reuse,32.80,35.58,32.17,33.79,12.25
imp_players-set_ftrs-euclidean_sim-first_reuse,33.59,35.65,33.11,34.33,11.80
imp_players-text_ftrs-euclidean_sim-first_reuse,32.34,33.69,32.02,32.83,11.66
all_players-num_ftrs-cosine_sim-long_reuse,36.24,32.63,37.28,34.80,11.26
all_players-num_ftrs-cosine_sim-median_reuse,32.01,34.87,31.37,33.03,11.41
all_players-num_ftrs-cosine_sim-first_reuse,32.48,33.55,32.22,32.87,11.40
all_players-num_ftrs-euclidean_sim-long_reuse,36.75,33.32,37.72,35.38,11.54
all_players-num_ftrs-euclidean_sim-median_reuse,32.24,35.39,31.53,33.35,11.70
all_players-num_ftrs-euclidean_sim-first_reuse,32.27,34.34,31.79,33.01,11.68
