,f2,prec,rec,dld
imp_players-num_ftrs-cosine_sim-long_reuse-pop,51.23,55.56,50.25,10.52
imp_players-num_ftrs-cosine_sim-median_reuse-pop,50.40,60.40,48.40,10.44
imp_players-num_ftrs-cosine_sim-first_reuse-pop,49.90,59.50,47.97,11.56
