,f2,prec,rec,dld
imp_players-num_ftrs-cosine_sim-long_reuse-pop,56.35,47.46,59.11,10.82
imp_players-num_ftrs-cosine_sim-median_reuse-pop,52.03,52.40,51.93,12.70
imp_players-num_ftrs-cosine_sim-first_reuse-pop,50.25,50.18,50.26,11.89
