,f2,prec,rec,dld
imp_players-num_ftrs-cosine_sim-long_reuse-pop,40.24,30.65,43.66,10.98
imp_players-num_ftrs-cosine_sim-median_reuse-pop,34.11,31.52,34.82,12.04
imp_players-num_ftrs-cosine_sim-first_reuse-pop,34.41,31.43,35.24,10.04
