,f2,prec,rec,dld
imp_players-num_ftrs-cosine_sim-long_reuse-pop,55.81,61.40,54.57,9.85
imp_players-num_ftrs-cosine_sim-median_reuse-pop,54.88,64.43,52.91,11.06
imp_players-num_ftrs-cosine_sim-first_reuse-pop,54.08,62.90,52.25,10.20
